"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
904,,$27,"SANDY HIGH TECH AUTOMOTIVE","9217 SOUTH STATE",SANDY,84070,40.584005,-111.890435,1,rooftop,9217,"S State St",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
915,,$48,"ACTION AUTO","497 E 3900 S","Salt Lake City",84107,40.687361,-111.877507,1,rooftop,497,"E 3900 S","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
924,,$29,"KEN GARFF HONDA","64 E. 900 SO.","SALT LAKE CITY",84111,40.748946,-111.889165,1,rooftop,64,"E 900 S","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
928,,$41,"TUNEX OF HUNTER","3549 SOUTH 5600 WEST","WEST VALLEY",84120,40.695452,-112.02431,1,rooftop,3549,"S 5600 W","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
931,,$30,"ROCKY MOUNTAIN TIRE and SER","6158 SOUTH STATE",MURRAY,84107,40.636818,-111.889667,1,rooftop,6158,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
934,,$30,"KARL MALONE TOYOTA","11453 S LONE PEAK PKWY",DRAPER,84020,40.543331,-111.897117,1,rooftop,11453,"S Lone Peak Pkwy",Draper,UT,"Salt Lake County",84020,US,"Utah AGRC (and individual UT counties)"
935,,$30,"STOCKTON 12 HONDA","10860 S AUTOMALL DR",SANDY,84070,40.554536,-111.895644,1,rooftop,10860,"S Automall Dr",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
947,,$47,"AUTO MAGIC ","7852 So. OLD BINGHAM HWY.","WEST JORDAN",84088,40.587629,-111.98342,0.33,place,,,"West Jordan",UT,"Salt Lake County",84088,US,"TIGER/Line® dataset from the US Census Bureau"
956,,$38,"BATEMAN TEXACO","1232 WEST 7000 SOUTH","WEST JORDAN",84084,40.624412,-111.927568,1,rooftop,1232,"W 7000 S","West Jordan",UT,"Salt Lake County",84084,US,"Utah AGRC (and individual UT counties)"
960,,$37,"RAPID LUBE","2330 S REDWOOD RD.","WEST VALLEY CITY",84119,40.720515,-111.93927,1,rooftop,2330,"S Redwood Rd","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
973,,$29,"JOE'S REPAIR SHOP","390 EAST 1300 SOUTH","SALT LAKE CITY",84115,40.741472,-111.879904,1,range_interpolation,390,"E 1300 S","Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
974,,$31,"EMISSIONS PLUS","1390 EAST 3300 SOUTH","SALT LAKE CITY",84106,40.69952,-111.851015,1,rooftop,1390,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
979,,$41,"IN AND OUT TESTING","4195 SOUTH 500 WEST",MURRAY,84123,40.682717,-111.903824,1,rooftop,4195,"S 500 W","Salt Lake City",UT,"Salt Lake County",84123,US,"Utah AGRC (and individual UT counties)"
